--- Starting Training ---
Episode  191 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05338 | Epsilon: 0.147
Episode  192 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04009 | Epsilon: 0.145
Episode  193 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05131 | Epsilon: 0.144
Episode  194 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04916 | Epsilon: 0.142
Episode  195 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04014 | Epsilon: 0.141
Episode  196 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03511 | Epsilon: 0.139
Episode  197 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04432 | Epsilon: 0.138
Episode  198 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04281 | Epsilon: 0.137
Episode  199 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04425 | Epsilon: 0.135
Episode  200 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05273 | Epsilon: 0.134
Episode 200: Target network updated.
Episode  201 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06568 | Epsilon: 0.133
Episode  202 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05085 | Epsilon: 0.131
Episode  203 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03853 | Epsilon: 0.130
Episode  204 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04244 | Epsilon: 0.129
Episode  205 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05015 | Epsilon: 0.127
Episode  206 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04782 | Epsilon: 0.126
Episode  207 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05322 | Epsilon: 0.125
Episode  208 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04786 | Epsilon: 0.124
Episode  209 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05791 | Epsilon: 0.122
Episode  210 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05095 | Epsilon: 0.121
Episode  211 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05025 | Epsilon: 0.120
Episode  212 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05333 | Epsilon: 0.119
Episode  213 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04025 | Epsilon: 0.118
Episode  214 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.03714 | Epsilon: 0.117
Episode  215 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06573 | Epsilon: 0.115
Episode  216 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05403 | Epsilon: 0.114
Episode  217 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04106 | Epsilon: 0.113
Episode  218 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06112 | Epsilon: 0.112
Episode  219 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05873 | Epsilon: 0.111
Episode  220 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04486 | Epsilon: 0.110
Episode 220: Target network updated.
Episode  221 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06650 | Epsilon: 0.109
Episode  222 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05218 | Epsilon: 0.108
Episode  223 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06145 | Epsilon: 0.106
Episode  224 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.06312 | Epsilon: 0.105
Episode  225 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05640 | Epsilon: 0.104
Episode  226 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.05391 | Epsilon: 0.103
Episode  227 | Reward:  -200.0 | Duration:  200 | Avg Loss: 0.04899 | Epsilon: 0.102
