--- Starting Training ---
Episode  168 | Reward:    91.0 | Duration:   91 | Avg Loss: 0.68286 | Epsilon: 0.053
Episode  169 | Reward:   105.0 | Duration:  105 | Avg Loss: 0.73680 | Epsilon: 0.049
Episode  170 | Reward:    94.0 | Duration:   94 | Avg Loss: 0.75039 | Epsilon: 0.046
Episode 170: Target network updated.
Episode  171 | Reward:   116.0 | Duration:  116 | Avg Loss: 0.74599 | Epsilon: 0.042
Episode  172 | Reward:   119.0 | Duration:  119 | Avg Loss: 0.71589 | Epsilon: 0.038
Episode  173 | Reward:   106.0 | Duration:  106 | Avg Loss: 0.66612 | Epsilon: 0.035
Episode  174 | Reward:   147.0 | Duration:  147 | Avg Loss: 0.68982 | Epsilon: 0.032
Episode  175 | Reward:   112.0 | Duration:  112 | Avg Loss: 0.64747 | Epsilon: 0.029
Episode  176 | Reward:   131.0 | Duration:  131 | Avg Loss: 0.65724 | Epsilon: 0.027
Episode  177 | Reward:   143.0 | Duration:  143 | Avg Loss: 0.59247 | Epsilon: 0.025
Episode  178 | Reward:   115.0 | Duration:  115 | Avg Loss: 0.60213 | Epsilon: 0.023
Episode  179 | Reward:   112.0 | Duration:  112 | Avg Loss: 0.61187 | Epsilon: 0.022
Episode  180 | Reward:   123.0 | Duration:  123 | Avg Loss: 0.58563 | Epsilon: 0.020
Episode 180: Target network updated.
Episode  181 | Reward:   163.0 | Duration:  163 | Avg Loss: 0.60319 | Epsilon: 0.019
Episode  182 | Reward:   153.0 | Duration:  153 | Avg Loss: 0.61063 | Epsilon: 0.018
Episode  183 | Reward:   183.0 | Duration:  183 | Avg Loss: 0.53609 | Epsilon: 0.016
Episode  184 | Reward:   161.0 | Duration:  161 | Avg Loss: 0.55410 | Epsilon: 0.015
Episode  185 | Reward:   114.0 | Duration:  114 | Avg Loss: 0.52382 | Epsilon: 0.015
Episode  186 | Reward:   106.0 | Duration:  106 | Avg Loss: 0.56887 | Epsilon: 0.014
Episode  187 | Reward:   134.0 | Duration:  134 | Avg Loss: 0.53452 | Epsilon: 0.014
Episode  188 | Reward:   169.0 | Duration:  169 | Avg Loss: 0.47868 | Epsilon: 0.013
Episode  189 | Reward:   202.0 | Duration:  202 | Avg Loss: 0.48771 | Epsilon: 0.013
Episode  190 | Reward:   204.0 | Duration:  204 | Avg Loss: 0.48490 | Epsilon: 0.012
Episode 190: Target network updated.
Episode  191 | Reward:   181.0 | Duration:  181 | Avg Loss: 0.46742 | Epsilon: 0.012
Episode  192 | Reward:   179.0 | Duration:  179 | Avg Loss: 0.49412 | Epsilon: 0.011
Episode  193 | Reward:   134.0 | Duration:  134 | Avg Loss: 0.46496 | Epsilon: 0.011
Episode  194 | Reward:   134.0 | Duration:  134 | Avg Loss: 0.46431 | Epsilon: 0.011
Episode  195 | Reward:   221.0 | Duration:  221 | Avg Loss: 0.45483 | Epsilon: 0.011
Episode  196 | Reward:   137.0 | Duration:  137 | Avg Loss: 0.47206 | Epsilon: 0.011
Episode  197 | Reward:   137.0 | Duration:  137 | Avg Loss: 0.44953 | Epsilon: 0.011
Episode  198 | Reward:   175.0 | Duration:  175 | Avg Loss: 0.44260 | Epsilon: 0.011
Episode  199 | Reward:   139.0 | Duration:  139 | Avg Loss: 0.44789 | Epsilon: 0.011
Episode  200 | Reward:   181.0 | Duration:  181 | Avg Loss: 0.46362 | Epsilon: 0.010
Episode 200: Target network updated.
Episode  201 | Reward:   160.0 | Duration:  160 | Avg Loss: 0.46796 | Epsilon: 0.010
Episode  202 | Reward:   152.0 | Duration:  152 | Avg Loss: 0.43293 | Epsilon: 0.010
Episode  203 | Reward:   179.0 | Duration:  179 | Avg Loss: 0.46525 | Epsilon: 0.010
Episode  204 | Reward:   182.0 | Duration:  182 | Avg Loss: 0.45011 | Epsilon: 0.010
Episode  205 | Reward:   137.0 | Duration:  137 | Avg Loss: 0.43488 | Epsilon: 0.010
Episode  206 | Reward:   127.0 | Duration:  127 | Avg Loss: 0.41146 | Epsilon: 0.010
Episode  207 | Reward:   122.0 | Duration:  122 | Avg Loss: 0.40065 | Epsilon: 0.010
Episode  208 | Reward:   156.0 | Duration:  156 | Avg Loss: 0.37835 | Epsilon: 0.010
Episode  209 | Reward:   156.0 | Duration:  156 | Avg Loss: 0.39251 | Epsilon: 0.010
Episode  210 | Reward:   128.0 | Duration:  128 | Avg Loss: 0.39779 | Epsilon: 0.010
Episode 210: Target network updated.
Episode  211 | Reward:   261.0 | Duration:  261 | Avg Loss: 0.41915 | Epsilon: 0.010
Episode  212 | Reward:   140.0 | Duration:  140 | Avg Loss: 0.38140 | Epsilon: 0.010
Episode  213 | Reward:   143.0 | Duration:  143 | Avg Loss: 0.35944 | Epsilon: 0.010
Episode  214 | Reward:   123.0 | Duration:  123 | Avg Loss: 0.37555 | Epsilon: 0.010
Episode  215 | Reward:   158.0 | Duration:  158 | Avg Loss: 0.39297 | Epsilon: 0.010
Episode  216 | Reward:   115.0 | Duration:  115 | Avg Loss: 0.36880 | Epsilon: 0.010
Episode  217 | Reward:   149.0 | Duration:  149 | Avg Loss: 0.34012 | Epsilon: 0.010
Episode  218 | Reward:   166.0 | Duration:  166 | Avg Loss: 0.34837 | Epsilon: 0.010
Episode  219 | Reward:   128.0 | Duration:  128 | Avg Loss: 0.33812 | Epsilon: 0.010
Episode  220 | Reward:   137.0 | Duration:  137 | Avg Loss: 0.34208 | Epsilon: 0.010
Episode 220: Target network updated.
Episode  221 | Reward:   153.0 | Duration:  153 | Avg Loss: 0.33496 | Epsilon: 0.010
Episode  222 | Reward:   138.0 | Duration:  138 | Avg Loss: 0.32104 | Epsilon: 0.010
Episode  223 | Reward:   132.0 | Duration:  132 | Avg Loss: 0.29973 | Epsilon: 0.010
Episode  224 | Reward:   137.0 | Duration:  137 | Avg Loss: 0.32514 | Epsilon: 0.010
Episode  225 | Reward:   160.0 | Duration:  160 | Avg Loss: 0.28031 | Epsilon: 0.010
Episode  226 | Reward:   137.0 | Duration:  137 | Avg Loss: 0.27118 | Epsilon: 0.010
Episode  227 | Reward:   113.0 | Duration:  113 | Avg Loss: 0.22501 | Epsilon: 0.010
Episode  228 | Reward:   135.0 | Duration:  135 | Avg Loss: 0.22413 | Epsilon: 0.010
Episode  229 | Reward:   156.0 | Duration:  156 | Avg Loss: 0.23470 | Epsilon: 0.010
Episode  230 | Reward:   128.0 | Duration:  128 | Avg Loss: 0.21057 | Epsilon: 0.010
Episode 230: Target network updated.
